uf,nome,partido,ano
RN,GARIBALDI ALVES FILHO,PMDB,2002
SC,ESPERIDIÃO AMIN HELOU FILHO,PPB,2002
TO,JOSE WILSON SIQUEIRA CAMPOS,PFL,2002
AP,JOÃO ALBERTO RODRIGUES CAPIBERIBE,PSB,2002
DF,JOAQUIM DOMINGOS RORIZ,PMDB,2002
GO,MARCONI FERREIRA PERILLO JUNIOR,PSDB,2002
MG,ITAMAR AUGUSTO CAUTIERO FRANCO,PMDB,2002
MS,JOSÉ ORCÍRIO MIRANDA DOS SANTOS,PT,2002
PA,ALMIR JOSÉ DE OLIVEIRA GABRIEL,PSDB,2002
PI,HUGO NAPOLEAO DO REGO NETO,PFL,2002
RJ,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PDT,2002
RO,JOSE DE ABREU BIANCO,PFL,2002
RR,NEUDO RIBEIRO CAMPOS,PPB,2002
RS,OLIVIO DE OLIVEIRA DUTRA,PT,2002
SE,ALBANO DO PRADO PIMENTEL FRANCO,PSDB,2002
SP,MÁRIO COVAS JUNIOR,PSDB,2002
AC,JORGE NEY VIANA MACEDO NEVES,PT,2001
AL,RONALDO AUGUSTO LESSA SANTOS,PSB,2001
AM,AMAZONINO ARMANDO MENDES,PFL,2001
BA,CESAR AUGUSTO RABELLO BORGES,PFL,2001
CE,TASSO RIBEIRO JEREISSATI,PSDB,2001
ES,JOSE IGNACIO FERREIRA,PSDB,2001
MA,ROSEANA SARNEY MURAD,PFL,2001
MT,DANTE MARTINS DE OLIVEIRA,PSDB,2001
PB,JOSE TARGINO MARANHAO,PMDB,2001
PE,JARBAS DE ANDRADE VASCONCELOS,PMDB,2001
PR,JAIME LERNER,PFL,2001
RN,GARIBALDI ALVES FILHO,PMDB,2001
SC,ESPERIDIÃO AMIN HELOU FILHO,PPB,2001
TO,JOSE WILSON SIQUEIRA CAMPOS,PFL,2001
AP,JOÃO ALBERTO RODRIGUES CAPIBERIBE,PSB,2001
DF,JOAQUIM DOMINGOS RORIZ,PMDB,2001
GO,MARCONI FERREIRA PERILLO JUNIOR,PSDB,2001
MG,ITAMAR AUGUSTO CAUTIERO FRANCO,PMDB,2001
MS,JOSÉ ORCÍRIO MIRANDA DOS SANTOS,PT,2001
PA,ALMIR JOSÉ DE OLIVEIRA GABRIEL,PSDB,2001
PI,HUGO NAPOLEAO DO REGO NETO,PFL,2001
RJ,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PDT,2001
RO,JOSE DE ABREU BIANCO,PFL,2001
RR,NEUDO RIBEIRO CAMPOS,PPB,2001
RS,OLIVIO DE OLIVEIRA DUTRA,PT,2001
SE,ALBANO DO PRADO PIMENTEL FRANCO,PSDB,2001
SP,MÁRIO COVAS JUNIOR,PSDB,2001
AC,JORGE NEY VIANA MACEDO NEVES,PT,2000
AL,RONALDO AUGUSTO LESSA SANTOS,PSB,2000
AM,AMAZONINO ARMANDO MENDES,PFL,2000
BA,CESAR AUGUSTO RABELLO BORGES,PFL,2000
CE,TASSO RIBEIRO JEREISSATI,PSDB,2000
ES,JOSE IGNACIO FERREIRA,PSDB,2000
MA,ROSEANA SARNEY MURAD,PFL,2000
MT,DANTE MARTINS DE OLIVEIRA,PSDB,2000
PB,JOSE TARGINO MARANHAO,PMDB,2000
PE,JARBAS DE ANDRADE VASCONCELOS,PMDB,2000
PR,JAIME LERNER,PFL,2000
RN,GARIBALDI ALVES FILHO,PMDB,2000
SC,ESPERIDIÃO AMIN HELOU FILHO,PPB,2000
TO,JOSE WILSON SIQUEIRA CAMPOS,PFL,2000
AP,JOÃO ALBERTO RODRIGUES CAPIBERIBE,PSB,2000
DF,JOAQUIM DOMINGOS RORIZ,PMDB,2000
GO,MARCONI FERREIRA PERILLO JUNIOR,PSDB,2000
MG,ITAMAR AUGUSTO CAUTIERO FRANCO,PMDB,2000
MS,JOSÉ ORCÍRIO MIRANDA DOS SANTOS,PT,2000
PA,ALMIR JOSÉ DE OLIVEIRA GABRIEL,PSDB,2000
PI,HUGO NAPOLEAO DO REGO NETO,PFL,2000
RJ,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PDT,2000
RO,JOSE DE ABREU BIANCO,PFL,2000
RR,NEUDO RIBEIRO CAMPOS,PPB,2000
RS,OLIVIO DE OLIVEIRA DUTRA,PT,2000
SE,ALBANO DO PRADO PIMENTEL FRANCO,PSDB,2000
SP,MÁRIO COVAS JUNIOR,PSDB,2000
AC,JORGE NEY VIANA MACEDO NEVES,PT,1999
AL,RONALDO AUGUSTO LESSA SANTOS,PSB,1999
AM,AMAZONINO ARMANDO MENDES,PFL,1999
BA,CESAR AUGUSTO RABELLO BORGES,PFL,1999
CE,TASSO RIBEIRO JEREISSATI,PSDB,1999
ES,JOSE IGNACIO FERREIRA,PSDB,1999
MA,ROSEANA SARNEY MURAD,PFL,1999
MT,DANTE MARTINS DE OLIVEIRA,PSDB,1999
PB,JOSE TARGINO MARANHAO,PMDB,1999
PE,JARBAS DE ANDRADE VASCONCELOS,PMDB,1999
PR,JAIME LERNER,PFL,1999
RN,GARIBALDI ALVES FILHO,PMDB,1999
SC,ESPERIDIÃO AMIN HELOU FILHO,PPB,1999
TO,JOSE WILSON SIQUEIRA CAMPOS,PFL,1999
AP,JOÃO ALBERTO RODRIGUES CAPIBERIBE,PSB,1999
DF,JOAQUIM DOMINGOS RORIZ,PMDB,1999
GO,MARCONI FERREIRA PERILLO JUNIOR,PSDB,1999
MG,ITAMAR AUGUSTO CAUTIERO FRANCO,PMDB,1999
MS,JOSÉ ORCÍRIO MIRANDA DOS SANTOS,PT,1999
PA,ALMIR JOSÉ DE OLIVEIRA GABRIEL,PSDB,1999
PI,HUGO NAPOLEAO DO REGO NETO,PFL,1999
RJ,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA,PDT,1999
RO,JOSE DE ABREU BIANCO,PFL,1999
RR,NEUDO RIBEIRO CAMPOS,PPB,1999
RS,OLIVIO DE OLIVEIRA DUTRA,PT,1999
SE,ALBANO DO PRADO PIMENTEL FRANCO,PSDB,1999
SP,MÁRIO COVAS JUNIOR,PSDB,1999
